url,address,city_state_zip,full_address,lat,lon,address2,housing_type,baths,beds,sqft,soundscore,noise,central_air,date_sold,garage,lot_size,patio,porch, sold_price ,year_built
https://www.redfin.com/TX/Austin/4109-Lullwood-Rd-78722/home/31417611,"4109 Lullwood Rd,","Austin, TX 78722","4109 Lullwood Rd, Austin, TX 78722",30.2972,-97.71286,,House,2,3,1666,70,Moderate Noise,Y,5/5/2021,Y,11326,Y,Y,800000,1950
https://www.redfin.com/TX/Austin/1705-E-22nd-St-78722/home/31388965,1705 E 22nd St,"Austin, TX 78722","1705 E 22nd StAustin, TX 78722",30.28237,-97.7232,,House,1,2,1012,70,Moderate Noise,N,2/19/2020,N,6708,N,N,380000,1944
https://www.redfin.com/TX/Austin/1904-Poquito-St-78722/home/31388868,1904 Poquito St,"Austin, TX 78722","1904 Poquito StAustin, TX 78722",30.28052,-97.7205,,House,1,2,864,70,Moderate Noise,N,12/28/2017,Y,3097,N,N,330000,1950
https://www.redfin.com/TX/Austin/1907-E-20th-St-78722/home/31388866,1907 E 20th St,"Austin, TX 78722","1907 E 20th StAustin, TX 78722",30.28078,-97.7207,,House,2.5,3,1882,70,Moderate Noise,Y,8/15/2018,Y,3136,N,N,533000,2012
https://www.redfin.com/TX/Austin/2107-Chicon-St-78722/home/31388936,"2107 Chicon St,","Austin, TX 78722","2107 Chicon St,Austin, TX 78722",30.28239,-97.7216,,House,2,2,532,70,Moderate Noise,N,10/5/2018,N,5706,N,N,270000,1953
https://www.redfin.com/TX/Austin/2807-French-Pl-78722/home/31394679,2807 French Pl,"Austin, TX 78722","2807 French PlAustin, TX 78722",30.28515,-97.7201,,House,3,4,2110,70,Moderate Noise,Y,11/27/2019,N,8189,Y,N,745000,1940
https://www.redfin.com/TX/Austin/2952-Higgins-St-78722/home/31393186,2952 Higgins St,"Austin, TX 78722","2952 Higgins StAustin, TX 78722",30.28313,-97.7051,,House,2,3,1228,70,Moderate Noise,Y,1/29/2019,N,6186,N,Y,350000,1948
https://www.redfin.com/TX/Austin/2954-Higgins-St-78722/home/31393187,"2954 Higgins St,","Austin, TX 78722","2954 Higgins St,Austin, TX 78722",30.2832,-97.7049,,House,2,3,1360,70,Moderate Noise,Y,3/25/2019,Y,5666,Y,N,320000,1947
https://www.redfin.com/TX/Austin/3002-Cherrywood-Rd-78722/home/31396143,3002 Cherrywood Rd,"Austin, TX 78722","3002 Cherrywood RdAustin, TX 78722",30.28543,-97.718,,House,1,3,1152,70,Moderate Noise,N,6/28/2018,N,8995,N,N,435000,1951
https://www.redfin.com/TX/Austin/3004-Breeze-Ter-78722/home/31396100,3004 Breeze Ter,"Austin, TX 78722","3004 Breeze TerAustin, TX 78722",30.28616,-97.7187,,House,2,3,1618,70,Moderate Noise,Y,7/20/2018,N,8450,N,Y,463000,1945
https://www.redfin.com/TX/Austin/3103-French-Pl-78722/home/31394693,3103 French Pl,"Austin, TX 78722","3103 French PlAustin, TX 78722",30.28713,-97.7188,,House,3,4,2091,70,Moderate Noise,Y,11/1/2016,N,7584,Y,Y,664700,1951
https://www.redfin.com/TX/Austin/3201-French-Pl-78722/home/31396114,3201 French Pl,"Austin, TX 78722","3201 French PlAustin, TX 78722",30.28773,-97.7185,,House,2,3,1800,70,Moderate Noise,Y,5/8/2019,N,6970,N,N,685000,1942
https://www.redfin.com/TX/Austin/3209-French-Pl-78722/home/31402350,3209 French Pl,"Austin, TX 78722","3209 French PlAustin, TX 78722",30.28828,-97.7181,,House,1,3,1281,70,Moderate Noise,Y,6/9/2017,N,8707,Y,N,520000,1941
https://www.redfin.com/TX/Austin/4020-Airport-Blvd-78722/unit-2/home/144007582,4020 Airport Blvd,", Austin, TX 78722","4020 Airport Blvd , Austin, TX 78722",30.29311,-97.7082,,House,2.5,3,1931,70,Moderate Noise,Y,11/30/2017,Y,3843,Y,N,499000,2017
https://www.redfin.com/TX/Austin/4020-Airport-Blvd-78722/unit-9/home/144007589,4020 Airport Blvd,", Austin, TX 78722","4020 Airport Blvd , Austin, TX 78722",30.29311,-97.7082,,House,2.5,3,2066,70,Moderate Noise,Y,10/18/2018,Y,2928,Y,N,539000,2018
https://www.redfin.com/TX/Austin/4101-Lullwood-Rd-78722/home/31417607,4101 Lullwood Rd,"Austin, TX 78722","4101 Lullwood RdAustin, TX 78722",30.29629,-97.7127,,House,2,3,2772,70,Moderate Noise,N,8/15/2019,N,15246,N,N,630000,1956
https://www.redfin.com/TX/Austin/2936-Moss-St-78722/home/31393130,2936 Moss St,"Austin, TX 78722","2936 Moss St Austin, TX 78722",30.28512,-97.70674,,House,1,2,961,71,Moderate Noise,N,10/6/2020,N,6013,N,Y,398500,1948
https://www.redfin.com/TX/Austin/2414-E-Martin-Luther-King-Junior-Blvd-78702/unit-A/home/174618209,2414 E M L King Jr Blvd,"Austin, TX 78722","2414 E M L King Jr Blvd Austin, TX 78722",30.28231,-97.70557,Unit A,House,1.5,2,1355,71,Moderate Noise,N,3/18/2021,N,6534,N,N,549900,2017
https://www.redfin.com/TX/Austin/3811-Cherrywood-Rd-78722/home/31407830,3811 Cherrywood Rd,"Austin, TX 78722","3811 Cherrywood Rd Austin, TX 78722",30.29197,-97.71313,,House,2,3,1501,71,Moderate Noise,Y,11/3/2020,Y,7710,Y,Y,612500,1949
https://www.redfin.com/TX/Austin/2205-Alamo-St-78722/home/31388963,"2205 Alamo St,","Austin, TX 78722","2205 Alamo St, Austin, TX 78722",30.28357,-97.71993,,House,1,2,744,71,Moderate Noise,Y,3/9/2021,N,5401,Y,Y,615000,1933
https://www.redfin.com/TX/Austin/3810-Cherrywood-Rd-78722/home/31406760,3810 Cherrywood Rd,"Austin, TX 78722","3810 Cherrywood Rd Austin, TX 78722",30.2922,-97.71355,,House,2,3,1701,71,Moderate Noise,Y,2/3/2021,Y,9958,Y,Y,640000,1960
https://www.redfin.com/TX/Austin/2100-E-22nd-St-78722/unit-1/home/172473705,2100 E 22nd St,"Austin, TX 78722","2100 E 22nd St Austin, TX 78722",30.28332,-97.71988,#1,House,2.5,3,1697,71,Moderate Noise,Y,3/26/2021,Y,2875,Y,Y,725000,2020
https://www.redfin.com/TX/Austin/3007-Breeze-Ter-78722/home/31396125,3007 Breeze Ter,"Austin, TX 78722","3007 Breeze Ter Austin, TX 78722",30.28607,-97.71831,,House,3,4,2123,71,Moderate Noise,Y,8/19/2020,Y,9932,Y,N,825000,1950
https://www.redfin.com/TX/Austin/1512-Edgewood-Ave-78722/home/31402426,"1512 Edgewood Ave,","Austin, TX 78722","1512 Edgewood Ave, Austin, TX 78722",30.28856,-97.71664,,House,2,3,1824,71,Moderate Noise,Y,2/25/2021,N,6578,N,N,897675,1949
https://www.redfin.com/TX/Austin/13-Kern-Ramble-St-78722/home/31402327,13 Kern Ramble St,"Austin, TX 78722","13 Kern Ramble StAustin, TX 78722",30.28911,-97.7161,,House,2,3,1650,71,Moderate Noise,Y,4/13/2020,Y,12197,Y,Y,750000,1951
